subset_name,rows,total_hours,manifest_path,local_archive_path,drive_archive_path,copied_audio,missing_audio,mode,group_counts,created_at
run0_eval_val_200,200,0.4042,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/run0/run0_eval_val_200.jsonl,,,0,,manifests_only,"{""high_code_switching"": 200}",2026-06-15T09:25:00.234600+00:00
run0_eval_hard_200,200,0.4347,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/run0/run0_eval_hard_200.jsonl,,,0,,manifests_only,"{""high_code_switching"": 200}",2026-06-15T09:25:00.241335+00:00
run0_eval_test_200,200,0.4269,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/run0/run0_eval_test_200.jsonl,,,0,,manifests_only,"{""high_code_switching"": 200}",2026-06-15T09:25:00.248376+00:00
runA_train_200,200,0.4294,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/runA/runA_train_200.jsonl,,,0,,manifests_only,"{""high_code_switching"": 199, ""normal_medical_vietnamese"": 1}",2026-06-15T09:25:00.266112+00:00
runA_eval_val_100,100,0.2156,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/runA/runA_eval_val_100.jsonl,,,0,,manifests_only,"{""high_code_switching"": 100}",2026-06-15T09:25:00.270511+00:00
runB_train_1000,1000,2.1031,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/runB/runB_train_1000.jsonl,,,0,,manifests_only,"{""high_code_switching"": 999, ""normal_medical_vietnamese"": 1}",2026-06-15T09:25:00.314935+00:00
runB_eval_val_200,200,0.4158,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/runB/runB_eval_val_200.jsonl,,,0,,manifests_only,"{""high_code_switching"": 200}",2026-06-15T09:25:00.323340+00:00
runB_eval_hard_200,200,0.4133,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/runB/runB_eval_hard_200.jsonl,,,0,,manifests_only,"{""high_code_switching"": 200}",2026-06-15T09:25:00.329948+00:00
runC_train_4h,1938,4.0014,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/runC/runC_train_4h.jsonl,,,0,,manifests_only,"{""high_code_switching"": 1937, ""normal_medical_vietnamese"": 1}",2026-06-15T09:25:00.655823+00:00
runC_eval_val_200,200,0.3989,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/runC/runC_eval_val_200.jsonl,,,0,,manifests_only,"{""high_code_switching"": 200}",2026-06-15T09:25:00.664486+00:00
runC_eval_hard_200,200,0.4317,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/runC/runC_eval_hard_200.jsonl,,,0,,manifests_only,"{""high_code_switching"": 200}",2026-06-15T09:25:00.671237+00:00
vietmed_dev_small,100,0.1654,/content/Clinical-Ambient-Documentation-Assistant/experiments/asr/vimedcss/manifests/forgetting_eval/vietmed_dev_small.jsonl,,,0,,manifests_only,"{""vietmed_forgetting_eval"": 100}",2026-06-15T09:25:00.683299+00:00
